symbol,name,Standard_Sector,Sector_Chinese
AVNW,"Aviat Networks, Inc. - Common Stock",Information Technology,資訊科技
AVO,"Mission Produce, Inc. - Common Stock",Consumer Staples,必需消費
AVPT,"AvePoint, Inc. - Class A Common Stock",Information Technology,資訊科技
AVR,Anteris Technologies Global Corp. - Common Stock,Health Care,醫療保健
AVT,"Avnet, Inc. - Common Stock",Information Technology,資訊科技
AVTX,"Avalo Therapeutics, Inc. - Common Stock",Health Care,醫療保健
AVXL,Anavex Life Sciences Corp. - Common Stock,Health Care,醫療保健
AWRE,"Aware, Inc. - Common Stock",Information Technology,資訊科技
AXDX,"Accelerate Diagnostics, Inc. - Common Stock",Health Care,醫療保健
AXGN,"Axogen, Inc. - Common Stock",Health Care,醫療保健
AXON,"Axon Enterprise, Inc. - Common Stock",Industrials,工業
AXSM,"Axsome Therapeutics, Inc. - Common Stock",Health Care,醫療保健
AXTI,AXT Inc - Common Stock,Information Technology,資訊科技
AYRO,"AYRO, Inc. - Common Stock",Consumer Discretionary,非必需消費
AYTU,"Aytu BioPharma, Inc.  - Common Stock",Health Care,醫療保健
AZTA,"Azenta, Inc. - Common Stock",Health Care,醫療保健
BAER,"Bridger Aerospace Group Holdings, Inc. - Common Stock",Industrials,工業
BAFN,BayFirst Financial Corp. - Common Stock,Financials,金融
BAND,Bandwidth Inc. - Class A Common Stock,Information Technology,資訊科技
BANF,BancFirst Corporation - Common Stock,Financials,金融
BANR,Banner Corporation - Common Stock,Financials,金融
BASE,"Couchbase, Inc. - Common Stock",Information Technology,資訊科技
BATRA,"Atlanta Braves Holdings, Inc. - Series A Common Stock",Communication Services,通訊服務
BATRK,"Atlanta Braves Holdings, Inc. - Series C Common Stock",Communication Services,通訊服務
BBCP,"Concrete Pumping Holdings, Inc.  - Common Stock",Industrials,工業
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",Communication Services,通訊服務
BBIO,"BridgeBio Pharma, Inc. - Common Stock",Health Care,醫療保健
BBLG,Bone Biologics Corp - Common Stock,Health Care,醫療保健
BBNX,"Beta Bionics, Inc. - Common Stock",Health Care,醫療保健
BBSI,"Barrett Business Services, Inc. - Common Stock",Industrials,工業
BCAB,"BioAtla, Inc. - Common Stock",Health Care,醫療保健
BCAL,California BanCorp - Common Stock,Financials,金融
BCAX,Bicara Therapeutics Inc. - Common Stock,Health Care,醫療保健
BCBP,"BCB Bancorp, Inc. (NJ) - Common Stock",Financials,金融
BCDA,"BioCardia, Inc. - Common Stock",Health Care,醫療保健
BCG,"Binah Capital Group, Inc. - Common Stock",Financials,金融
BCLI,Brainstorm Cell Therapeutics Inc. - Common Stock,Health Care,醫療保健
BCML,BayCom Corp - Common Stock,Financials,金融
BCPC,Balchem Corporation - Common Stock,Materials,原物料
BCRX,"BioCryst Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
BDSX,"Biodesix, Inc. - Common Stock",Health Care,醫療保健
BDTX,"Black Diamond Therapeutics, Inc. - Common Stock",Health Care,醫療保健
BEAM,Beam Therapeutics Inc. - Common Stock,Health Care,醫療保健
BEAT,"Heartbeam, Inc. - Common Stock",Health Care,醫療保健
BEEM,Beam Global - Common Stock,Information Technology,資訊科技
BELFA,Bel Fuse Inc. - Class A Common Stock,Information Technology,資訊科技
BELFB,Bel Fuse Inc. - Class B Common Stock,Information Technology,資訊科技
BENF,Beneficient - Class A Common Stock,Financials,金融
BETR,Better Home & Finance Holding Company - Class A Common Stock,Financials,金融
BFC,Bank First Corporation - Common Stock,Financials,金融
BFIN,BankFinancial Corporation - Common Stock,Financials,金融
BFRG,"Bullfrog AI Holdings, Inc. - Common Stock",Health Care,醫療保健
BFRI,Biofrontera Inc. - Common Stock,Health Care,醫療保健
BFST,"Business First Bancshares, Inc. - Common Stock",Financials,金融
BGC,"BGC Group, Inc. - Class A Common Stock",Financials,金融
BGFV,Big 5 Sporting Goods Corporation - Common Stock,Consumer Discretionary,非必需消費
BGLC,BioNexus Gene Lab Corp - Common stock,Materials,原物料
BHF,"Brighthouse Financial, Inc. - Common Stock",Financials,金融
BHRB,Burke & Herbert Financial Services Corp. - Common Stock,Financials,金融
BHST,BioHarvest Sciences Inc. - Common Stock,Consumer Staples,必需消費
BIAF,"bioAffinity Technologies, Inc. - Common Stock",Health Care,醫療保健
BIGC,"BigCommerce Holdings, Inc. - Series 1 Common Stock",Information Technology,資訊科技
BIIB,Biogen Inc. - Common Stock,Health Care,醫療保健
BIOA,"BioAge Labs, Inc. - Common Stock",Health Care,醫療保健
BIRD,"Allbirds, Inc. - Class A Common Stock",Consumer Discretionary,非必需消費
BITF,Bitfarms Ltd. - Common Stock,Financials,金融
BIVI,BioVie Inc. - Common stock,Health Care,醫療保健
