symbol,name,Standard_Sector,Sector_Chinese
SNCY,"Sun Country Airlines Holdings, Inc. - Common Stock",Industrials,工業
SND,"Smart Sand, Inc. - Common Stock",Energy,能源
SNDK,Sandisk Corporation - Common Stock,Information Technology,資訊科技
SNDX,"Syndax Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
SNES,"SenesTech, Inc. - Common Stock",Materials,原物料
SNEX,StoneX Group Inc. - Common Stock,Financials,金融
SNFCA,Security National Financial Corporation - Class A Common Stock,Financials,金融
SNGX,"Soligenix, Inc. - Common Stock",Health Care,醫療保健
SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
SNPS,"Synopsys, Inc. - Common Stock",Information Technology,資訊科技
SNPX,"Synaptogenix, Inc. - Common Stock",Health Care,醫療保健
SNSE,"Sensei Biotherapeutics, Inc. - Common Stock",Health Care,醫療保健
SNTI,"Senti Biosciences, Inc.  - Common Stock",Health Care,醫療保健
SNWV,"SANUWAVE Health, Inc. - Common Stock",Health Care,醫療保健
SNYR,Synergy CHC Corp. - Common Stock,Health Care,醫療保健
SOBR,"SOBR Safe, Inc. - Common Stock",Information Technology,資訊科技
SOFI,"SoFi Technologies, Inc.  - Common Stock",Financials,金融
SOHO,Sotherly Hotels Inc. - Common Stock,Real Estate,房地產
SOND,Sonder Holdings Inc. - Class A Common Stock,Consumer Discretionary,非必需消費
SONM,"Sonim Technologies, Inc. - Common Stock",Information Technology,資訊科技
SONN,"Sonnet BioTherapeutics Holdings, Inc. - Common Stock",Health Care,醫療保健
SONO,"Sonos, Inc. - Common Stock",Information Technology,資訊科技
SOPA,Society Pass Incorporated - Common Stock,Information Technology,資訊科技
SOTK,Sono-Tek Corporation - Common Stock,Information Technology,資訊科技
SOUN,"SoundHound AI, Inc. - Class A Common Stock",Information Technology,資訊科技
SOWG,Sow Good Inc. - Common Stock,Consumer Staples,必需消費
SPAI,Safe Pro Group Inc. - Common Stock,Industrials,工業
SPFI,"South Plains Financial, Inc. - Common Stock",Financials,金融
SPOK,"Spok Holdings, Inc. - Common Stock",Health Care,醫療保健
SPRO,"Spero Therapeutics, Inc. - Common Stock",Health Care,醫療保健
SPRY,"ARS Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
SPSC,"SPS Commerce, Inc. - Common Stock",Information Technology,資訊科技
SPT,"Sprout Social, Inc - Class A Common Stock",Information Technology,資訊科技
SPTN,SpartanNash Company - Common Stock,Consumer Staples,必需消費
SPWH,"Sportsman's Warehouse Holdings, Inc. - Common Stock",Consumer Discretionary,非必需消費
SPWR,"Complete Solaria, Inc. - Common Stock",Information Technology,資訊科技
SQFT,"Presidio Property Trust, Inc. - Class A Common Stock",Real Estate,房地產
SQFTW,"Presidio Property Trust, Inc. - Series A Common Stock Purchase Warrants",Real Estate,房地產
SRBK,"SR Bancorp, Inc. - Common stock",Financials,金融
SRCE,1st Source Corporation - Common Stock,Financials,金融
SRDX,"Surmodics, Inc. - Common Stock",Health Care,醫療保健
SRM,"SRM Entertainment, Inc. - Common Stock",Consumer Discretionary,非必需消費
SRPT,"Sarepta Therapeutics, Inc. - Common Stock",Health Care,醫療保健
SRRK,Scholar Rock Holding Corporation - Common Stock,Health Care,醫療保健
SRTS,"Sensus Healthcare, Inc. - Common Stock",Health Care,醫療保健
SRZN,"Surrozen, Inc. - Common Stock",Health Care,醫療保健
SSBI,Summit State Bank - Common Stock,Financials,金融
SSBK,"Southern States Bancshares, Inc. - Common Stock",Financials,金融
SSII,SS Innovations International Inc. - Common Stock,Health Care,醫療保健
SSKN,"Strata Skin Sciences, Inc. - Common Stock",Health Care,醫療保健
SSNC,"SS&C Technologies Holdings, Inc. - Common Stock",Information Technology,資訊科技
SSP,E.W. Scripps Company (The) - Class A Common Stock,Communication Services,通訊服務
SSRM,SSR Mining Inc. - Common Stock,Materials,原物料
SSTI,"SoundThinking, Inc. - Common Stock",Information Technology,資訊科技
SSYS,"Stratasys, Ltd. - Common Stock",Information Technology,資訊科技
STAA,STAAR Surgical Company - Common Stock,Health Care,醫療保健
STAI,ScanTech AI Systems Inc. - Common stock,Industrials,工業
STBA,"S&T Bancorp, Inc. - Common Stock",Financials,金融
STEP,StepStone Group Inc. - Class A Common Stock,Financials,金融
STGW,Stagwell Inc. - Class A Common Stock,Communication Services,通訊服務
STI,"Solidion Technology, Inc. - Common Stock",Industrials,工業
STIM,"Neuronetics, Inc. - Common Stock",Health Care,醫療保健
STKL,"SunOpta, Inc. - Common Stock",Consumer Staples,必需消費
STKS,"The ONE Group Hospitality, Inc. - Common Stock",Consumer Discretionary,非必需消費
STLD,"Steel Dynamics, Inc. - Common Stock",Materials,原物料
STOK,"Stoke Therapeutics, Inc. - Common Stock",Health Care,醫療保健
STRA,"Strategic Education, Inc. - Common Stock",Consumer Staples,必需消費
STRL,"Sterling Infrastructure, Inc. - Common Stock",Industrials,工業
STRM,"Streamline Health Solutions, Inc. - Common Stock",Health Care,醫療保健
STRO,"Sutro Biopharma, Inc. - Common Stock",Health Care,醫療保健
STRR,"Star Equity Holdings, Inc. - Common Stock",Health Care,醫療保健
STRS,Stratus Properties Inc. - Common Stock,Real Estate,房地產
STRT,STRATTEC SECURITY CORPORATION - Common Stock,Consumer Discretionary,非必需消費
STSS,Sharps Technology Inc. - Common Stock,Health Care,醫療保健
STTK,"Shattuck Labs, Inc. - Common Stock",Health Care,醫療保健
SUNE,"SUNation Energy, Inc. - Common Stock",Information Technology,資訊科技
SUNS,"Sunrise Realty Trust, Inc. - Common Stock",Real Estate,房地產
SUPN,"Supernus Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
SURG,"SurgePays, Inc. - Common Stock",Communication Services,通訊服務
SUUN,SolarBank Corporation - Common Stock,Utilities,公用事業
SVCO,"Silvaco Group, Inc. - Common Stock",Information Technology,資訊科技
SVRA,"Savara, Inc. - Common Stock",Health Care,醫療保健
SWAG,"Stran & Company, Inc. - Common Stock",Communication Services,通訊服務
SWBI,"Smith & Wesson Brands, Inc. - Common Stock",Industrials,工業
SWIM,"Latham Group, Inc. - Common Stock",Industrials,工業
SWKH,SWK Holdings Corporation - Common Stock,Financials,金融
SWKS,"Skyworks Solutions, Inc. - Common Stock",Information Technology,資訊科技
SWTX,"SpringWorks Therapeutics, Inc. - common stock",Health Care,醫療保健
SXTC,"China SXT Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
SXTP,"60 Degrees Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
SYBT,"Stock Yards Bancorp, Inc. - Common Stock",Financials,金融
SYBX,"Synlogic, Inc. - Common Stock",Health Care,醫療保健
SYM,Symbotic Inc. - Class A Common Stock,Industrials,工業
SYNA,Synaptics Incorporated - Common Stock,Information Technology,資訊科技
SYPR,"Sypris Solutions, Inc. - Common Stock",Consumer Discretionary,非必需消費
SYRE,"Spyre Therapeutics, Inc. - Common Stock",Health Care,醫療保健
TACT,TransAct Technologies Incorporated - Common Stock,Information Technology,資訊科技
TAIT,Taitron Components Incorporated - Class A Common Stock,Information Technology,資訊科技
TALK,"Talkspace, Inc. - Common Stock",Health Care,醫療保健
TARA,"Protara Therapeutics, Inc.  - Common Stock",Health Care,醫療保健
TARS,"Tarsus Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
TASK,"TaskUs, Inc. - Class A Common Stock",Information Technology,資訊科技
TAYD,"Taylor Devices, Inc. - Common Stock",Industrials,工業
TBBK,"The Bancorp, Inc. - Common Stock",Financials,金融
TBCH,Turtle Beach Corporation - Common Stock,Information Technology,資訊科技
TBH,"Brag House Holdings, Inc. - Common Stock",Communication Services,通訊服務
TBMC,Trailblazer Merger Corporation I - Class A Common Stock,Financials,金融
TBRG,"TruBridge, Inc. - Common Stock",Health Care,醫療保健
TCBI,"Texas Capital Bancshares, Inc. - Common Stock",Financials,金融
TCBK,TriCo Bancshares - Common Stock,Financials,金融
TCBS,"Texas Community Bancshares, Inc. - Common Stock",Financials,金融
TCBX,"Third Coast Bancshares, Inc. - Common Stock",Financials,金融
TCMD,"Tactile Systems Technology, Inc. - Common Stock",Health Care,醫療保健
TCRT,"Alaunos Therapeutics, Inc. - Common Stock",Health Care,醫療保健
TCRX,"TScan Therapeutics, Inc. - Common Stock",Health Care,醫療保健
TCX,Tucows Inc. - Common Stock,Information Technology,資訊科技
TDUP,ThredUp Inc. - Class A Common Stock,Consumer Discretionary,非必需消費
TEAM,Atlassian Corporation  - Class A Common Stock,Information Technology,資訊科技
TECH,Bio-Techne Corp - Common Stock,Health Care,醫療保健
TECX,"Tectonic Therapeutic, Inc. - Common Stock",Health Care,醫療保健
TELA,"TELA Bio, Inc. - Common stock",Health Care,醫療保健
TELO,"Telomir Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
TEM,"Tempus AI, Inc. - Class A Common Stock",Health Care,醫療保健
TENB,"Tenable Holdings, Inc. - Common Stock",Information Technology,資訊科技
TENX,"Tenax Therapeutics, Inc. - Common Stock",Health Care,醫療保健
TER,"Teradyne, Inc. - Common Stock",Information Technology,資訊科技
TERN,"Terns Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
TFIN,"Triumph Financial, Inc. - Common Stock",Financials,金融
TFSL,TFS Financial Corporation - Common Stock,Financials,金融
TGL,Treasure Global Inc. - Common Stock,Information Technology,資訊科技
TGTX,"TG Therapeutics, Inc. - Common Stock",Health Care,醫療保健
TH,Target Hospitality Corp. - Common Stock,Industrials,工業
THAR,"Tharimmune, Inc. - Common Stock",Health Care,醫療保健
THFF,First Financial Corporation  - Common Stock,Financials,金融
THRD,"Third Harmonic Bio, Inc. - Common Stock",Health Care,醫療保健
THRM,Gentherm Inc - Common Stock,Consumer Discretionary,非必需消費
THRY,"Thryv Holdings, Inc. - Common Stock",Communication Services,通訊服務
TIGO,Millicom International Cellular S.A. - Common Stock,Communication Services,通訊服務
TIL,"Instil Bio, Inc. - Common Stock",Health Care,醫療保健
TILE,"Interface, Inc. - Common Stock",Consumer Discretionary,非必需消費
TIPT,Tiptree Inc. - Common Stock,Financials,金融
TITN,Titan Machinery Inc. - Common Stock,Industrials,工業
TIVC,"Tivic Health Systems, Inc. - Common stock",Health Care,醫療保健
TKNO,"Alpha Teknova, Inc. - Common Stock",Health Care,醫療保健
TLF,"Tandy Leather Factory, Inc. - common stock",Consumer Discretionary,非必需消費
TLN,Talen Energy Corporation - Common Stock,Utilities,公用事業
TLPH,"Talphera, Inc. - Common Stock",Health Care,醫療保健
TLRY,"Tilray Brands, Inc. - Common Stock",Health Care,醫療保健
TLS,Telos Corporation - Common Stock,Information Technology,資訊科技
TLSI,"TriSalus Life Sciences, Inc. - Common Stock",Health Care,醫療保健
TMC,TMC the metals company Inc. - Common Stock,Materials,原物料
TMCI,"Treace Medical Concepts, Inc. - Common Stock",Health Care,醫療保健
TMDX,"TransMedics Group, Inc. - Common Stock",Health Care,醫療保健
TMUS,"T-Mobile US, Inc. - Common Stock",Communication Services,通訊服務
TNDM,"Tandem Diabetes Care, Inc. - Common Stock",Health Care,醫療保健
TNFA,"TNF Pharmaceuticals, Inc.  - Common Stock",Health Care,醫療保健
TNGX,"Tango Therapeutics, Inc. - Common Stock",Health Care,醫療保健
TNON,"Tenon Medical, Inc. - Common Stock",Health Care,醫療保健
TNXP,Tonix Pharmaceuticals Holding Corp. - Common Stock,Health Care,醫療保健
TNYA,"Tenaya Therapeutics, Inc. - Common Stock",Health Care,醫療保健
TOI,"The Oncology Institute, Inc. - Common Stock",Health Care,醫療保健
TOMZ,"TOMI Environmental Solutions, Inc. - Common Stock",Industrials,工業
TORO,Toro Corp. - Common stock,Industrials,工業
TOWN,Towne Bank - Common Stock,Financials,金融
TPCS,TechPrecision Corporation - Common stock,Industrials,工業
TPG,TPG Inc. - Class A Common Stock,Financials,金融
TPIC,"TPI Composites, Inc. - Common Stock",Industrials,工業
TPST,"Tempest Therapeutics, Inc. - Common Stock",Health Care,醫療保健
TRAW,"Traws Pharma, Inc. - Common Stock",Health Care,醫療保健
TRDA,"Entrada Therapeutics, Inc. - Common Stock",Health Care,醫療保健
TREE,"LendingTree, Inc. - Common Stock",Financials,金融
TRIN,Trinity Capital Inc. - Common Stock,Financials,金融
TRIP,"TripAdvisor, Inc. - Common Stock",Consumer Discretionary,非必需消費
TRMB,Trimble Inc. - Common Stock,Information Technology,資訊科技
TRMD,TORM plc - Class A Common Stock,Energy,能源
TRMK,Trustmark Corporation - Common Stock,Financials,金融
TRML,"Tourmaline Bio, Inc.  - Common Stock",Health Care,醫療保健
TRNR,Interactive Strength Inc. - Common Stock,Consumer Discretionary,非必需消費
TRNS,"Transcat, Inc. - Common Stock",Industrials,工業
TROW,"T. Rowe Price Group, Inc. - Common Stock",Financials,金融
TRS,TriMas Corporation - Common Stock,Consumer Discretionary,非必需消費
TRST,TrustCo Bank Corp NY - Common Stock,Financials,金融
TRUE,"TrueCar, Inc. - Common Stock",Communication Services,通訊服務
TRUG,"TruGolf Holdings, Inc. - Class A Common Stock",Communication Services,通訊服務
TRUP,"Trupanion, Inc. - Common Stock",Financials,金融
TRVI,"Trevi Therapeutics, Inc. - Common Stock",Health Care,醫療保健
TSBK,"Timberland Bancorp, Inc. - Common Stock",Financials,金融
TSBX,Turnstone Biologics Corp. - Common Stock,Health Care,醫療保健
TSCO,Tractor Supply Company - Common Stock,Consumer Discretionary,非必需消費
TSHA,"Taysha Gene Therapies, Inc. - Common Stock",Health Care,醫療保健
TSLA,"Tesla, Inc.  - Common Stock",Consumer Discretionary,非必需消費
TSSI,"TSS, Inc. - Common Stock",Information Technology,資訊科技
TSVT,"2seventy bio, Inc. - Common Stock",,
TTAN,"ServiceTitan, Inc. - Class A Common Stock",Information Technology,資訊科技
TTD,"The Trade Desk, Inc. - Class A Common Stock",Communication Services,通訊服務
TTEC,"TTEC Holdings, Inc. - Common Stock",Information Technology,資訊科技
TTEK,"Tetra Tech, Inc. - Common Stock",Industrials,工業
TTGT,"TechTarget, Inc. - Common Stock",Information Technology,資訊科技
TTMI,"TTM Technologies, Inc. - Common Stock",Information Technology,資訊科技
TTNP,"Titan Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
TTSH,"Tile Shop Holdings, Inc. - Common Stock",Consumer Discretionary,非必需消費
TTWO,"Take-Two Interactive Software, Inc. - Common Stock",Communication Services,通訊服務
TUSK,"Mammoth Energy Services, Inc. - Common Stock",Industrials,工業
TVGN,Tevogen Bio Holdings Inc. - Common Stock,Health Care,醫療保健
TVRD,"Tvardi Therapeutics, Inc. - Common Stock",Health Care,醫療保健
TVTX,"Travere Therapeutics, Inc. - Common Stock",Health Care,醫療保健
TW,Tradeweb Markets Inc. - Class A Common Stock,Financials,金融
TWFG,"TWFG, Inc. - Common Stock",Financials,金融
TWIN,"Twin Disc, Incorporated - Common Stock",Industrials,工業
TWNP,Twin Hospitality Group Inc. - Class A Common Stock,Consumer Discretionary,非必需消費
TWST,Twist Bioscience Corporation - Common Stock,Health Care,醫療保健
TXG,"10x Genomics, Inc. - Common Stock",Health Care,醫療保健
TXMD,"TherapeuticsMD, Inc. - Common Stock",Health Care,醫療保健
TXN,Texas Instruments Incorporated - Common Stock,Information Technology,資訊科技
TXRH,"Texas Roadhouse, Inc. - Common Stock",Consumer Discretionary,非必需消費
TYGO,"Tigo Energy, Inc. - Common Stock",Information Technology,資訊科技
TYRA,"Tyra Biosciences, Inc. - Common Stock",Health Care,醫療保健
TZOO,Travelzoo - Common Stock,Communication Services,通訊服務
TZUP,Thumzup Media Corporation - Common Stock,Communication Services,通訊服務
UAL,"United Airlines Holdings, Inc. - Common Stock",Industrials,工業
UBCP,"United Bancorp, Inc. - Common Stock",Financials,金融
UBFO,United Security Bancshares - Common Stock,Financials,金融
UBSI,"United Bankshares, Inc. - Common Stock",Financials,金融
UBX,"Unity Biotechnology, Inc. - Common Stock",Health Care,醫療保健
UCTT,"Ultra Clean Holdings, Inc. - Common Stock",Information Technology,資訊科技
UDMY,"Udemy, Inc. - Common Stock",Consumer Staples,必需消費
UEIC,Universal Electronics Inc. - Common Stock,Information Technology,資訊科技
UFCS,"United Fire Group, Inc - Common Stock",Financials,金融
UFPI,"UFP Industries, Inc. - Common Stock",Materials,原物料
UFPT,"UFP Technologies, Inc. - Common Stock",Health Care,醫療保健
UG,"United-Guardian, Inc. - Common Stock",Consumer Staples,必需消費
UGRO,"urban-gro, Inc. - Common Stock",Industrials,工業
UHG,"United Homes Group, Inc - Class A Common Stock",Consumer Discretionary,非必需消費
ULBI,Ultralife Corporation - Common Stock,Industrials,工業
ULCC,"Frontier Group Holdings, Inc. - Common Stock",Industrials,工業
ULH,"Universal Logistics Holdings, Inc. - Common Stock",Industrials,工業
ULTA,"Ulta Beauty, Inc. - Common Stock",Consumer Discretionary,非必需消費
ULY,Urgent.ly Inc. - Common Stock,Information Technology,資訊科技
UMBF,UMB Financial Corporation - Common Stock,Financials,金融
UNB,"Union Bankshares, Inc. - Common Stock",Financials,金融
UNCY,"Unicycive Therapeutics, Inc. - Common Stock",Health Care,醫療保健
UNIT,Uniti Group Inc. - Common Stock,Real Estate,房地產
UNTY,"Unity Bancorp, Inc. - Common Stock",Financials,金融
UONE,"Urban One, Inc.  - Class A Common Stock",Communication Services,通訊服務
UONEK,"Urban One, Inc.  - Class D Common Stock",Communication Services,通訊服務
UPB,"Upstream Bio, Inc. - Common Stock",Health Care,醫療保健
UPBD,"Upbound Group, Inc. - Common Stock",Information Technology,資訊科技
UPLD,"Upland Software, Inc. - Common Stock",Information Technology,資訊科技
UPST,"Upstart Holdings, Inc. - Common stock",Financials,金融
UPWK,Upwork Inc. - Common Stock,Communication Services,通訊服務
UPXI,"Upexi, Inc. - Common Stock",Communication Services,通訊服務
URBN,"Urban Outfitters, Inc. - Common Stock",Consumer Discretionary,非必需消費
UROY,Uranium Royalty Corp. - Common Stock,Energy,能源
USAR,"USA Rare Earth, Inc. - Common Stock",Materials,原物料
USAU,U.S. Gold Corp. - Common Stock,Materials,原物料
USCB,"USCB Financial Holdings, Inc.  - Class A Common Stock",Financials,金融
USEA,United Maritime Corporation - Common Stock,Industrials,工業
USEG,U.S. Energy Corp. - Common Stock,Energy,能源
USGO,U.S. GoldMining Inc. - Common stock,Materials,原物料
USIO,"Usio, Inc. - Common Stock",Information Technology,資訊科技
USLM,"United States Lime & Minerals, Inc. - Common Stock",Materials,原物料
UTHR,United Therapeutics Corporation - Common Stock,Health Care,醫療保健
UTMD,"Utah Medical Products, Inc. - Common Stock",Health Care,醫療保健
UVSP,Univest Financial Corporation - Common Stock,Financials,金融
VABK,Virginia National Bankshares Corporation - Common Stock,Financials,金融
VALU,"Value Line, Inc. - Common Stock",Financials,金融
VANI,"Vivani Medical, Inc.  - Common Stock",Health Care,醫療保健
VBTX,"Veritex Holdings, Inc. - Common Stock",Financials,金融
VC,Visteon Corporation - Common Stock,Consumer Discretionary,非必需消費
VCEL,Vericel Corporation - Common Stock,Health Care,醫療保健
VCSA,"Vacasa, Inc. - Class A Common Stock",,
VCTR,"Victory Capital Holdings, Inc. - Common Stock",Financials,金融
VCYT,"Veracyte, Inc. - Common Stock",Health Care,醫療保健
VECO,Veeco Instruments Inc. - Common Stock,Information Technology,資訊科技
VEEA,Veea Inc. - Common Stock,Information Technology,資訊科技
VEEE,Twin Vee PowerCats Co. - Common Stock,Consumer Discretionary,非必需消費
VERA,"Vera Therapeutics, Inc. - Class A Common Stock",Health Care,醫療保健
VERB,"Verb Technology Company, Inc. - Common Stock",Information Technology,資訊科技
VERI,"Veritone, Inc. - Common Stock",Information Technology,資訊科技
VERO,Venus Concept Inc.  - Common Stock,Health Care,醫療保健
VERU,Veru Inc. - Common Stock,Health Care,醫療保健
VERV,"Verve Therapeutics, Inc. - Common Stock",Health Care,醫療保健
VERX,"Vertex, Inc. - Class A Common Stock",Information Technology,資訊科技
VGAS,"Verde Clean Fuels, Inc. - Class A Common Stock",Utilities,公用事業
VIAV,Viavi Solutions Inc. - Common Stock,Information Technology,資訊科技
VICR,Vicor Corporation - Common Stock,Information Technology,資訊科技
VIGL,"Vigil Neuroscience, Inc. - Common Stock",Health Care,醫療保健
VIR,"Vir Biotechnology, Inc. - Common Stock",Health Care,醫療保健
VIRC,Virco Manufacturing Corporation - Common Stock,Consumer Discretionary,非必需消費
VIRT,"Virtu Financial, Inc. - Class A Common Stock",Financials,金融
VITL,"Vital Farms, Inc. - Common Stock",Consumer Staples,必需消費
VIVK,"Vivakor, Inc. - Common Stock",Energy,能源
VIVS,"VivoSim Labs, Inc. - Common Stock",Health Care,醫療保健
VKTX,"Viking Therapeutics, Inc. - Common Stock",Health Care,醫療保健
VLCN,"Volcon, Inc. - Common stock",Consumer Discretionary,非必需消費
VLGEA,"Village Super Market, Inc. - Class A Common Stock",Consumer Staples,必需消費
VLY,Valley National Bancorp - Common Stock,Financials,金融
VMEO,"Vimeo, Inc. - Common Stock",Information Technology,資訊科技
VNDA,Vanda Pharmaceuticals Inc. - Common Stock,Health Care,醫療保健
VNOM,"Viper Energy, Inc.  - Class A Common Stock",Energy,能源
VOR,Vor Biopharma Inc. - Common Stock,Health Care,醫療保健
VOXR,Vox Royalty Corp. - common stock,Materials,原物料
VRA,"Vera Bradley, Inc. - Common Stock",Consumer Discretionary,非必需消費
VRAR,"The Glimpse Group, Inc. - Common Stock",Information Technology,資訊科技
VRCA,Verrica Pharmaceuticals Inc. - Common Stock,Health Care,醫療保健
VRDN,"Viridian Therapeutics, Inc.  - Common Stock",Health Care,醫療保健
VREX,Varex Imaging Corporation - Common Stock,Health Care,醫療保健
VRM,"Vroom, Inc. - Common Stock",Consumer Discretionary,非必需消費
VRME,"VerifyMe, Inc. - Common Stock",Industrials,工業
VRNS,"Varonis Systems, Inc. - Common Stock",Information Technology,資訊科技
VRNT,Verint Systems Inc. - Common Stock,Information Technology,資訊科技
VRRM,Verra Mobility Corporation - Class A Common Stock,Information Technology,資訊科技
VRSK,"Verisk Analytics, Inc. - Common Stock",Industrials,工業
VRSN,"VeriSign, Inc. - Common Stock",Information Technology,資訊科技
VRTX,Vertex Pharmaceuticals Incorporated - Common Stock,Health Care,醫療保健
VS,Versus Systems Inc. - Common Stock,Information Technology,資訊科技
VSAT,"ViaSat, Inc. - Common Stock",Information Technology,資訊科技
VSEC,VSE Corporation - Common Stock,Industrials,工業
VSEE,"VSee Health, Inc. - Common Stock",Health Care,醫療保健
VSTM,"Verastem, Inc. - Common Stock",Health Care,醫療保健
VTGN,"Vistagen Therapeutics, Inc. - Common Stock",Health Care,醫療保健
VTRS,Viatris Inc. - Common Stock,Health Care,醫療保健
VTSI,"VirTra, Inc. - Common Stock",Information Technology,資訊科技
VTVT,vTv Therapeutics Inc. - Class A Common Stock,Health Care,醫療保健
VTYX,"Ventyx Biosciences, Inc. - Common Stock",Health Care,醫療保健
VUZI,Vuzix Corporation  - Common Stock,Information Technology,資訊科技
VVOS,"Vivos Therapeutics, Inc. - Common Stock",Health Care,醫療保健
VXRT,"Vaxart, Inc. - Common Stock",Health Care,醫療保健
VYGR,"Voyager Therapeutics, Inc. - Common Stock",Health Care,醫療保健
VYNE,VYNE Therapeutics Inc. - Common Stock,Health Care,醫療保健
WABC,Westamerica Bancorporation - Common Stock,Financials,金融
WAFD,"WaFd, Inc. - Common Stock",Financials,金融
WASH,"Washington Trust Bancorp, Inc. - Common Stock",Financials,金融
WATT,Energous Corporation - Common Stock,Information Technology,資訊科技
WAY,Waystar Holding Corp. - Common Stock,Health Care,醫療保健
WBA,"Walgreens Boots Alliance, Inc. - Common Stock",Health Care,醫療保健
WBD,"Warner Bros. Discovery, Inc. - Series A Common Stock",Communication Services,通訊服務
WBTN,WEBTOON Entertainment Inc. - Common stock,Communication Services,通訊服務
WDAY,"Workday, Inc. - Class A Common Stock",Information Technology,資訊科技
WDC,Western Digital Corporation - Common Stock,Information Technology,資訊科技
WDFC,WD-40 Company - Common Stock,Materials,原物料
WEN,Wendy's Company (The) - Common Stock,Consumer Discretionary,非必需消費
WERN,"Werner Enterprises, Inc. - Common Stock",Industrials,工業
WEST,Westrock Coffee Company - Common Stock,Consumer Staples,必需消費
WETH,Wetouch Technology Inc. - Common Stock,Real Estate,房地產
WEYS,"Weyco Group, Inc. - Common Stock",Consumer Discretionary,非必需消費
WFCF,"Where Food Comes From, Inc. - Common Stock",Industrials,工業
WGRX,"Wellgistics Health, Inc. - Common Stock",Health Care,醫療保健
WGS,GeneDx Holdings Corp. - Class A Common Stock,Health Care,醫療保健
WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",Real Estate,房地產
WHWK,"Whitehawk Therapeutics, Inc. - Common Stock",Health Care,醫療保健
WINA,Winmark Corporation - Common Stock,Consumer Discretionary,非必需消費
WING,Wingstop Inc. - Common Stock,Consumer Discretionary,非必需消費
WINT,"Windtree Therapeutics, Inc. - Common Stock",Health Care,醫療保健
WKHS,"Workhorse Group, Inc. - Common Stock",Consumer Discretionary,非必需消費
WKSP,"Worksport, Ltd. - Common Stock",Consumer Discretionary,非必需消費
WLDN,"Willdan Group, Inc. - Common Stock",Industrials,工業
WLFC,Willis Lease Finance Corporation - Common Stock,Industrials,工業
WMG,Warner Music Group Corp. - Class A Common Stock,Communication Services,通訊服務
WMPN,William Penn Bancorporation - Common Stock,,
WNEB,"Western New England Bancorp, Inc. - Common Stock",Financials,金融
WOOF,"Petco Health and Wellness Company, Inc. - Class A Common Stock",Consumer Discretionary,非必需消費
WORX,SCWorx Corp. - Common Stock,Health Care,醫療保健
WRAP,"Wrap Technologies, Inc. - Common Stock",Information Technology,資訊科技
WRLD,World Acceptance Corporation - Common Stock,Financials,金融
WSBC,"WesBanco, Inc. - Common Stock",Financials,金融
WSBF,"Waterstone Financial, Inc. - Common Stock",Financials,金融
WSC,WillScot Holdings Corporation - Class A Common Stock,Industrials,工業
WSFS,WSFS Financial Corporation - Common Stock,Financials,金融
WTBA,West Bancorporation - Common Stock,Financials,金融
WTFC,Wintrust Financial Corporation - Common Stock,Financials,金融
WULF,TeraWulf Inc. - Common Stock,Financials,金融
WVVI,"Willamette Valley Vineyards, Inc. - Common Stock",Consumer Staples,必需消費
WW,"WW International, Inc.  - Common Stock",Consumer Discretionary,非必需消費
WWD,"Woodward, Inc. - Common Stock",Industrials,工業
WYNN,"Wynn Resorts, Limited - Common Stock",Consumer Discretionary,非必需消費
XAGE,"Longevity Health Holdings, Inc. - Common Stock",Consumer Staples,必需消費
XAIR,"Beyond Air, Inc. - Common Stock",Health Care,醫療保健
XBIO,"Xenetic Biosciences, Inc. - Common Stock",Health Care,醫療保健
XBIT,XBiotech Inc. - Common Stock,Health Care,醫療保健
XBP,"XBP Europe Holdings, Inc. - Common Stock",Information Technology,資訊科技
XCUR,"Exicure, Inc. - Common Stock",Health Care,醫療保健
XEL,Xcel Energy Inc. - Common Stock,Utilities,公用事業
XELB,"Xcel Brands, Inc - Common Stock",Consumer Discretionary,非必需消費
XERS,"Xeris Biopharma Holdings, Inc. - Common Stock",Health Care,醫療保健
XFOR,"X4 Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
XGN,Exagen Inc. - Common Stock,Health Care,醫療保健
XHLD,"TEN Holdings, Inc. - Common Stock",Communication Services,通訊服務
XLO,"Xilio Therapeutics, Inc. - Common Stock",Health Care,醫療保健
XMTR,"Xometry, Inc. - Class A Common Stock",Industrials,工業
XNCR,"Xencor, Inc. - Common Stock",Health Care,醫療保健
XOMA,XOMA Royalty Corporation - Common Stock,Health Care,醫療保健
XOS,"Xos, Inc. - Common Stock",Industrials,工業
XP,XP Inc. - Class A Common Stock,Financials,金融
XPEL,"XPEL, Inc. - Common Stock",Consumer Discretionary,非必需消費
XPON,Expion360 Inc. - Common Stock,Industrials,工業
